'Z','ANIMAL','X','Y'
1,1,17.5,22.1
1,2,9.4,12
1,3,10,15.2
1,4,7.4,23.1
1,5,8.8,9.8
1,6,18.9,26.9
1,7,10.8,11.1
1,8,8.8,13.6
1,9,8.8,12.8
1,10,9.2,7.5
1,11,8.1,8.1
1,12,10.3,27.5
1,13,10.1,11.2
1,14,7.3,11
1,15,11.1,15.3
1,16,9.4,11.5
1,17,8.2,8.4
1,18,6.3,12.7
1,19,9.7,17.1
1,20,7.1,9.5
1,21,7.2,11
1,22,5.3,8.2
1,23,14.3,15.8
1,24,7.9,9.7
1,25,14.1,14.7
1,26,12.8,17
1,27,12.8,20.2
1,28,10.7,13.9
1,29,5.9,11.8
1,30,3.8,9
0,1,11.1,9.4
0,2,5.1,5.9
0,3,6.5,14.8
0,4,17.2,15.5
0,5,11.8,23.4
0,6,6.6,7.3
0,7,4.1,8.2
