'SUBJ','DAY','TIME','RATER','SF'
1,1,1,1,15
1,1,2,1,5
1,1,1,2,17
1,1,2,2,5
1,2,1,1,11
1,2,2,1,9
1,2,1,2,10
1,2,2,2,1
1,3,1,1,8
1,3,2,1,10
1,3,1,2,5
1,3,2,2,1
2,1,1,1,0
2,1,2,1,8
2,1,1,2,1
2,1,2,2,7
2,2,1,1,-2
2,2,2,1,1
2,2,1,2,7
2,2,2,2,4
2,3,1,1,18
2,3,2,1,18
2,3,1,2,19
2,3,2,2,12
3,1,1,1,29
3,1,2,1,16
3,1,1,2,36
3,1,2,2,22
3,2,1,1,25
3,2,2,1,26
3,2,1,2,31
3,2,2,2,30
3,3,1,1,13
3,3,2,1,26
3,3,1,2,27
3,3,2,2,25
4,1,1,1,17
4,1,2,1,18
4,1,1,2,21
4,1,2,2,24
4,2,1,1,14
4,2,2,1,24
4,2,1,2,22
4,2,2,2,30
4,3,1,1,16
4,3,2,1,20
4,3,1,2,20
4,3,2,2,24
5,1,1,1,6
5,1,2,1,17
5,1,1,2,10
5,1,2,2,14
5,2,1,1,8
5,2,2,1,8
5,2,1,2,7
5,2,2,2,10
5,3,1,1,9
5,3,2,1,4
5,3,1,2,8
5,3,2,2,5
6,1,1,1,18
6,1,2,1,18
6,1,1,2,15
6,1,2,2,18
6,2,1,1,16
6,2,2,1,24
6,2,1,2,22
6,2,2,2,26
6,3,1,1,20
6,3,2,1,1
6,3,1,2,2
6,3,2,2,17
7,1,1,1,12
7,1,2,1,7
7,1,1,2,19
7,1,2,2,10
7,2,1,1,10
7,2,2,1,7
7,2,1,2,12
7,2,2,2,8
7,3,1,1,7
7,3,2,1,17
7,3,1,2,12
7,3,2,2,14
8,1,1,1,41
8,1,2,1,49
8,1,1,2,46
8,1,2,2,48
8,2,1,1,50
8,2,2,1,52
8,2,1,2,46
8,2,2,2,52
8,3,1,1,30
8,3,2,1,44
8,3,1,2,41
8,3,2,2,52
9,1,1,1,8
9,1,2,1,12
9,1,1,2,9
9,1,2,2,11
9,2,1,1,7
9,2,2,1,11
9,2,1,2,7
9,2,2,2,15
9,3,1,1,1
9,3,2,1,8
9,3,1,2,5
9,3,2,2,8
10,1,1,1,27
10,1,2,1,34
10,1,1,2,31
10,1,2,2,31
10,2,1,1,36
10,2,2,1,22
10,2,1,2,39
10,2,2,2,28
10,3,1,1,42
10,3,2,1,45
10,3,1,2,38
10,3,2,2,40
11,1,1,1,17
11,1,2,1,27
11,1,1,2,17
11,1,2,2,26
11,2,1,1,20
11,2,2,1,18
11,2,1,2,27
11,2,2,2,24
11,3,1,1,17
11,3,2,1,10
11,3,1,2,19
11,3,2,2,16
12,1,1,1,23
12,1,2,1,20
12,1,1,2,25
12,1,2,2,24
12,2,1,1,20
12,2,2,1,32
12,2,1,2,29
12,2,2,2,5
12,3,1,1,19
12,3,2,1,30
12,3,1,2,24
12,3,2,2,31
13,1,1,1,5
13,1,2,1,15
13,1,1,2,8
13,1,2,2,14
13,2,1,1,6
13,2,2,1,6
13,2,1,2,7
13,2,2,2,9
13,3,1,1,9
13,3,2,1,4
13,3,1,2,6
13,3,2,2,9
14,1,1,1,25
14,1,2,1,18
14,1,1,2,23
14,1,2,2,18
14,2,1,1,15
14,2,2,1,18
14,2,1,2,21
14,2,2,2,24
14,3,1,1,16
14,3,2,1,22
14,3,1,2,27
14,3,2,2,25
15,1,1,1,5
15,1,2,1,10
15,1,1,2,7
15,1,2,2,7
15,2,1,1,0
15,2,2,1,1
15,2,1,2,7
15,2,2,2,12
15,3,1,1,2
15,3,2,1,-2
15,3,1,2,0
15,3,2,2,0
16,1,1,1,20
16,1,2,1,17
16,1,1,2,22
16,1,2,2,19
16,2,1,1,5
16,2,2,1,11
16,2,1,2,7
16,2,2,2,13
16,3,1,1,3
16,3,2,1,13
16,3,1,2,6
16,3,2,2,14
17,1,1,1,28
17,1,2,1,21
17,1,1,2,24
17,1,2,2,20
17,2,1,1,27
17,2,2,1,20
17,2,1,2,32
17,2,2,2,27
17,3,1,1,16
17,3,2,1,15
17,3,1,2,22
17,3,2,2,17
18,1,1,1,33
18,1,2,1,25
18,1,1,2,28
18,1,2,2,28
18,2,1,1,38
18,2,2,1,27
18,2,1,2,42
18,2,2,2,34
18,3,1,1,5
18,3,2,1,14
18,3,1,2,9
18,3,2,2,7
19,1,1,1,2
19,1,2,1,4
19,1,1,2,1
19,1,2,2,5
19,2,1,1,2
19,2,2,1,5
19,2,1,2,0
19,2,2,2,0
19,3,1,1,2
19,3,2,1,0
19,3,1,2,6
19,3,2,2,2
